time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-209.00700	-51.52110	29.97280	172.80300	100.12800	9.43674	-159.83200	-55.26830	13.48210	98.38030	99.23600	30.49110	-58.74810	-100.30600	-42.62170	-53.82140	85.53830	66.48490
-999.90300	-208.98900	-51.51090	29.97370	172.80800	100.12900	9.43598	-159.82200	-55.25810	13.48520	98.38850	99.23880	30.49050	-58.75360	-100.29800	-42.61490	-53.81350	85.55180	66.49060
-999.80300	-208.97200	-51.50070	29.97470	172.81300	100.13000	9.43522	-159.81100	-55.24800	13.48830	98.39660	99.24160	30.48980	-58.75910	-100.28900	-42.60810	-53.80570	85.56520	66.49630
-999.70300	-208.95400	-51.49040	29.97570	172.81800	100.13100	9.43446	-159.80100	-55.23790	13.49140	98.40480	99.24440	30.48910	-58.76460	-100.28000	-42.60130	-53.79780	85.57870	66.50210
-999.60300	-208.93600	-51.48020	29.97660	172.82300	100.13200	9.43370	-159.79100	-55.22770	13.49450	98.41290	99.24720	30.48840	-58.77010	-100.27100	-42.59450	-53.78990	85.59220	66.50780
-999.50300	-208.91900	-51.46990	29.97760	172.82800	100.13400	9.43295	-159.78100	-55.21760	13.49770	98.42110	99.25000	30.48770	-58.77560	-100.26300	-42.58770	-53.78200	85.60560	66.51350
-999.40300	-208.90100	-51.45970	29.97860	172.83300	100.13500	9.43219	-159.77100	-55.20740	13.50080	98.42920	99.25280	30.48700	-58.78110	-100.25400	-42.58090	-53.77410	85.61910	66.51920
-999.30300	-208.88300	-51.44940	29.97950	172.83900	100.13600	9.43143	-159.76100	-55.19730	13.50390	98.43740	99.25560	30.48630	-58.78660	-100.24500	-42.57410	-53.76620	85.63260	66.52490
-999.20300	-208.86600	-51.43920	29.98050	172.84400	100.13700	9.43067	-159.75100	-55.18710	13.50700	98.44550	99.25850	30.48560	-58.79210	-100.23600	-42.56720	-53.75830	85.64600	66.53070
-999.10300	-208.84800	-51.42900	29.98150	172.84900	100.13900	9.42991	-159.74100	-55.17700	13.51010	98.45370	99.26130	30.48500	-58.79760	-100.22800	-42.56040	-53.75040	85.65950	66.53640
-999.00300	-208.83000	-51.41870	29.98240	172.85400	100.14000	9.42915	-159.73100	-55.16680	13.51320	98.46180	99.26410	30.48430	-58.80310	-100.21900	-42.55360	-53.74250	85.67300	66.54210
-998.90300	-208.81300	-51.40850	29.98340	172.85900	100.14100	9.42839	-159.72100	-55.15670	13.51640	98.47000	99.26690	30.48360	-58.80860	-100.21000	-42.54680	-53.73460	85.68640	66.54780
-998.80300	-208.79500	-51.39820	29.98430	172.86400	100.14200	9.42763	-159.71100	-55.14650	13.51950	98.47810	99.26970	30.48290	-58.81410	-100.20100	-42.54000	-53.72670	85.69990	66.55360
-998.70300	-208.77700	-51.38800	29.98530	172.86900	100.14300	9.42687	-159.70100	-55.13640	13.52260	98.48630	99.27250	30.48220	-58.81960	-100.19300	-42.53320	-53.71880	85.71340	66.55930
-998.60300	-208.76000	-51.37770	29.98630	172.87400	100.14500	9.42611	-159.69100	-55.12620	13.52570	98.49440	99.27540	30.48150	-58.82500	-100.18400	-42.52640	-53.71090	85.72680	66.56500
-998.50300	-208.74200	-51.36750	29.98720	172.88000	100.14600	9.42534	-159.68100	-55.11600	13.52880	98.50260	99.27820	30.48080	-58.83050	-100.17500	-42.51960	-53.70300	85.74030	66.57070
-998.40300	-208.72400	-51.35730	29.98820	172.88500	100.14700	9.42458	-159.67100	-55.10590	13.53190	98.51080	99.28100	30.48010	-58.83600	-100.16600	-42.51280	-53.69500	85.75380	66.57640
-998.30300	-208.70600	-51.34700	29.98920	172.89000	100.14800	9.42382	-159.66100	-55.09570	13.53510	98.51890	99.28380	30.47940	-58.84150	-100.15800	-42.50600	-53.68710	85.76730	66.58220
-998.20300	-208.68900	-51.33680	29.99010	172.89500	100.15000	9.42306	-159.65000	-55.08560	13.53820	98.52710	99.28660	30.47870	-58.84700	-100.14900	-42.49920	-53.67920	85.78080	66.58790
-998.10300	-208.67100	-51.32650	29.99110	172.90000	100.15100	9.42230	-159.64000	-55.07540	13.54130	98.53520	99.28950	30.47800	-58.85250	-100.14000	-42.49240	-53.67130	85.79420	66.59360
-998.00300	-208.65300	-51.31630	29.99210	172.90500	100.15200	9.42154	-159.63000	-55.06530	13.54440	98.54340	99.29230	30.47740	-58.85800	-100.13100	-42.48560	-53.66340	85.80770	66.59930
-997.90300	-208.63600	-51.30600	29.99300	172.91000	100.15300	9.42077	-159.62000	-55.05510	13.54750	98.55160	99.29510	30.47670	-58.86350	-100.12200	-42.47870	-53.65540	85.82120	66.60500
-997.80300	-208.61800	-51.29580	29.99400	172.91600	100.15400	9.42001	-159.61000	-55.04490	13.55070	98.55980	99.29790	30.47600	-58.86900	-100.11400	-42.47190	-53.64750	85.83470	66.61080
-997.70300	-208.60000	-51.28560	29.99500	172.92100	100.15600	9.41925	-159.60000	-55.03480	13.55380	98.56790	99.30070	30.47530	-58.87450	-100.10500	-42.46510	-53.63960	85.84820	66.61650
-997.60300	-208.58300	-51.27530	29.99590	172.92600	100.15700	9.41848	-159.59000	-55.02460	13.55690	98.57610	99.30360	30.47460	-58.87990	-100.09600	-42.45830	-53.63160	85.86160	66.62220
-997.50300	-208.56500	-51.26510	29.99690	172.93100	100.15800	9.41772	-159.58000	-55.01450	13.56000	98.58430	99.30640	30.47390	-58.88540	-100.08700	-42.45150	-53.62370	85.87510	66.62790
-997.40400	-208.54700	-51.25480	29.99790	172.93600	100.15900	9.41696	-159.57000	-55.00430	13.56310	98.59240	99.30920	30.47320	-58.89090	-100.07900	-42.44470	-53.61580	85.88860	66.63370
-997.30400	-208.53000	-51.24460	29.99880	172.94100	100.16100	9.41619	-159.56000	-54.99420	13.56620	98.60060	99.31200	30.47250	-58.89640	-100.07000	-42.43790	-53.60780	85.90210	66.63940
-997.20400	-208.51200	-51.23440	29.99980	172.94600	100.16200	9.41543	-159.55000	-54.98400	13.56940	98.60880	99.31480	30.47180	-58.90190	-100.06100	-42.43110	-53.59990	85.91560	66.64510
-997.10400	-208.49400	-51.22410	30.00070	172.95200	100.16300	9.41467	-159.54000	-54.97390	13.57250	98.61700	99.31770	30.47110	-58.90740	-100.05200	-42.42420	-53.59200	85.92910	66.65080
-997.00400	-208.47700	-51.21390	30.00170	172.95700	100.16400	9.41390	-159.52900	-54.96370	13.57560	98.62510	99.32050	30.47040	-58.91280	-100.04300	-42.41740	-53.58400	85.94260	66.65650
-996.90400	-208.45900	-51.20360	30.00270	172.96200	100.16500	9.41314	-159.51900	-54.95350	13.57870	98.63330	99.32330	30.46970	-58.91830	-100.03500	-42.41060	-53.57610	85.95600	66.66230
-996.80400	-208.44100	-51.19340	30.00360	172.96700	100.16700	9.41237	-159.50900	-54.94340	13.58180	98.64150	99.32610	30.46900	-58.92380	-100.02600	-42.40380	-53.56810	85.96950	66.66800
-996.70400	-208.42300	-51.18310	30.00460	172.97200	100.16800	9.41161	-159.49900	-54.93320	13.58490	98.64970	99.32890	30.46830	-58.92930	-100.01700	-42.39700	-53.56020	85.98300	66.67370
-996.60400	-208.40600	-51.17290	30.00560	172.97700	100.16900	9.41084	-159.48900	-54.92310	13.58800	98.65790	99.33180	30.46760	-58.93470	-100.00800	-42.39010	-53.55220	85.99650	66.67940
-996.50400	-208.38800	-51.16270	30.00650	172.98200	100.17000	9.41008	-159.47900	-54.91290	13.59120	98.66600	99.33460	30.46690	-58.94020	-99.99940	-42.38330	-53.54430	86.01000	66.68520
-996.40400	-208.37000	-51.15240	30.00750	172.98800	100.17200	9.40931	-159.46900	-54.90280	13.59430	98.67420	99.33740	30.46620	-58.94570	-99.99060	-42.37650	-53.53630	86.02350	66.69090
-996.30400	-208.35300	-51.14220	30.00840	172.99300	100.17300	9.40855	-159.45900	-54.89260	13.59740	98.68240	99.34020	30.46550	-58.95120	-99.98180	-42.36970	-53.52840	86.03700	66.69660
-996.20400	-208.33500	-51.13190	30.00940	172.99800	100.17400	9.40778	-159.44900	-54.88250	13.60050	98.69060	99.34300	30.46480	-58.95660	-99.97300	-42.36290	-53.52040	86.05050	66.70230
