time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-211.44200	-46.39140	45.79800	177.88500	96.73270	-8.18866	-163.72200	-51.78450	27.12140	106.30100	98.45590	16.48010	-66.21920	-102.99300	-32.17200	-43.21800	93.07450	63.28580
-999.90300	-211.42300	-46.38150	45.79710	177.89000	96.73380	-8.18974	-163.71100	-51.77440	27.12310	106.30800	98.45830	16.47880	-66.22370	-102.98400	-32.16550	-43.20970	93.08740	63.28990
-999.80300	-211.40500	-46.37160	45.79630	177.89500	96.73480	-8.19083	-163.70000	-51.76440	27.12480	106.31600	98.46080	16.47750	-66.22810	-102.97400	-32.15900	-43.20130	93.10030	63.29390
-999.70300	-211.38700	-46.36170	45.79550	177.90000	96.73590	-8.19191	-163.68900	-51.75430	27.12640	106.32400	98.46330	16.47620	-66.23250	-102.96500	-32.15250	-43.19300	93.11330	63.29790
-999.60300	-211.36900	-46.35180	45.79460	177.90500	96.73690	-8.19300	-163.67800	-51.74420	27.12810	106.33200	98.46570	16.47490	-66.23690	-102.95500	-32.14610	-43.18470	93.12620	63.30200
-999.50300	-211.35100	-46.34200	45.79380	177.91000	96.73800	-8.19409	-163.66700	-51.73420	27.12980	106.34000	98.46820	16.47360	-66.24130	-102.94600	-32.13960	-43.17640	93.13910	63.30600
-999.40300	-211.33300	-46.33210	45.79300	177.91500	96.73900	-8.19517	-163.65700	-51.72410	27.13150	106.34700	98.47060	16.47230	-66.24580	-102.93600	-32.13310	-43.16810	93.15210	63.31010
-999.30300	-211.31400	-46.32220	45.79210	177.92000	96.74000	-8.19626	-163.64600	-51.71400	27.13320	106.35500	98.47310	16.47100	-66.25020	-102.92700	-32.12660	-43.15970	93.16500	63.31410
-999.20300	-211.29600	-46.31230	45.79130	177.92500	96.74110	-8.19735	-163.63500	-51.70390	27.13490	106.36300	98.47560	16.46970	-66.25460	-102.91700	-32.12020	-43.15140	93.17790	63.31810
-999.10300	-211.27800	-46.30240	45.79050	177.93000	96.74210	-8.19844	-163.62400	-51.69390	27.13660	106.37100	98.47800	16.46840	-66.25900	-102.90800	-32.11370	-43.14310	93.19090	63.32220
-999.00300	-211.26000	-46.29250	45.78960	177.93500	96.74320	-8.19952	-163.61300	-51.68380	27.13820	106.37800	98.48050	16.46720	-66.26340	-102.89800	-32.10720	-43.13480	93.20380	63.32620
-998.90300	-211.24200	-46.28260	45.78880	177.94000	96.74420	-8.20061	-163.60200	-51.67370	27.13990	106.38600	98.48300	16.46590	-66.26780	-102.88800	-32.10070	-43.12640	93.21670	63.33020
-998.80300	-211.22300	-46.27270	45.78790	177.94500	96.74530	-8.20170	-163.59100	-51.66370	27.14160	106.39400	98.48540	16.46460	-66.27220	-102.87900	-32.09430	-43.11810	93.22970	63.33430
-998.70300	-211.20500	-46.26280	45.78710	177.94900	96.74630	-8.20279	-163.58000	-51.65360	27.14330	106.40200	98.48790	16.46330	-66.27660	-102.86900	-32.08780	-43.10980	93.24260	63.33830
-998.60300	-211.18700	-46.25290	45.78630	177.95400	96.74740	-8.20388	-163.57000	-51.64350	27.14500	106.41000	98.49030	16.46200	-66.28100	-102.86000	-32.08130	-43.10140	93.25550	63.34230
-998.50300	-211.16900	-46.24300	45.78540	177.95900	96.74840	-8.20497	-163.55900	-51.63340	27.14670	106.41700	98.49280	16.46070	-66.28540	-102.85000	-32.07480	-43.09310	93.26850	63.34640
-998.40300	-211.15100	-46.23310	45.78460	177.96400	96.74940	-8.20606	-163.54800	-51.62340	27.14830	106.42500	98.49530	16.45940	-66.28980	-102.84100	-32.06840	-43.08470	93.28140	63.35040
-998.30300	-211.13200	-46.22320	45.78380	177.96900	96.75050	-8.20714	-163.53700	-51.61330	27.15000	106.43300	98.49770	16.45810	-66.29430	-102.83100	-32.06190	-43.07640	93.29440	63.35440
-998.20300	-211.11400	-46.21330	45.78290	177.97400	96.75150	-8.20823	-163.52600	-51.60320	27.15170	106.44100	98.50020	16.45680	-66.29870	-102.82200	-32.05540	-43.06810	93.30730	63.35850
-998.10300	-211.09600	-46.20340	45.78210	177.97900	96.75260	-8.20932	-163.51500	-51.59320	27.15340	106.44900	98.50270	16.45550	-66.30310	-102.81200	-32.04890	-43.05970	93.32030	63.36250
-998.00300	-211.07800	-46.19360	45.78130	177.98400	96.75360	-8.21041	-163.50400	-51.58310	27.15510	106.45600	98.50510	16.45420	-66.30750	-102.80300	-32.04240	-43.05140	93.33320	63.36660
-997.90300	-211.06000	-46.18370	45.78040	177.98900	96.75470	-8.21150	-163.49300	-51.57300	27.15680	106.46400	98.50760	16.45290	-66.31190	-102.79300	-32.03600	-43.04300	93.34610	63.37060
-997.80300	-211.04100	-46.17380	45.77960	177.99400	96.75570	-8.21260	-163.48300	-51.56290	27.15840	106.47200	98.51000	16.45160	-66.31630	-102.78400	-32.02950	-43.03470	93.35910	63.37460
-997.70300	-211.02300	-46.16390	45.77870	177.99900	96.75680	-8.21369	-163.47200	-51.55290	27.16010	106.48000	98.51250	16.45030	-66.32070	-102.77400	-32.02300	-43.02630	93.37200	63.37870
-997.60300	-211.00500	-46.15400	45.77790	178.00400	96.75780	-8.21478	-163.46100	-51.54280	27.16180	106.48800	98.51500	16.44900	-66.32510	-102.76400	-32.01650	-43.01790	93.38500	63.38270
-997.50300	-210.98700	-46.14410	45.77710	178.00900	96.75880	-8.21587	-163.45000	-51.53270	27.16350	106.49500	98.51740	16.44770	-66.32950	-102.75500	-32.01000	-43.00960	93.39790	63.38670
-997.40400	-210.96900	-46.13420	45.77620	178.01400	96.75990	-8.21696	-163.43900	-51.52260	27.16520	106.50300	98.51990	16.44640	-66.33390	-102.74500	-32.00350	-43.00120	93.41090	63.39080
