time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-247.88000	-22.37860	52.83330	223.09300	72.35790	-14.65130	-216.61000	-27.38490	41.23570	180.04900	77.41880	0.16012	-162.92000	-85.66160	-9.97880	94.95020	122.59100	51.59930
-999.90300	-247.85700	-22.37120	52.83180	223.09700	72.35830	-14.65220	-216.59200	-27.37700	41.23570	180.05400	77.41940	0.15915	-162.91100	-85.64910	-9.97352	94.95680	122.59500	51.59970
-999.80300	-247.83400	-22.36380	52.83030	223.10100	72.35860	-14.65300	-216.57300	-27.36910	41.23570	180.05900	77.42010	0.15818	-162.90100	-85.63650	-9.96824	94.96340	122.59800	51.60010
-999.70300	-247.81100	-22.35640	52.82880	223.10500	72.35890	-14.65390	-216.55500	-27.36110	41.23570	180.06400	77.42070	0.15721	-162.89100	-85.62400	-9.96296	94.97000	122.60200	51.60050
-999.60300	-247.78900	-22.34900	52.82730	223.10900	72.35930	-14.65470	-216.53600	-27.35320	41.23570	180.06900	77.42140	0.15624	-162.88100	-85.61150	-9.95769	94.97670	122.60500	51.60090
-999.50300	-247.76600	-22.34160	52.82580	223.11200	72.35960	-14.65550	-216.51800	-27.34530	41.23570	180.07400	77.42200	0.15527	-162.87200	-85.59890	-9.95241	94.98330	122.60900	51.60130
-999.40300	-247.74300	-22.33420	52.82430	223.11600	72.35990	-14.65640	-216.50000	-27.33740	41.23570	180.08000	77.42260	0.15429	-162.86200	-85.58640	-9.94713	94.98990	122.61200	51.60170
-999.30300	-247.72000	-22.32680	52.82280	223.12000	72.36030	-14.65720	-216.48100	-27.32950	41.23580	180.08500	77.42330	0.15332	-162.85200	-85.57380	-9.94185	94.99660	122.61600	51.60210
-999.20300	-247.69700	-22.31940	52.82130	223.12400	72.36060	-14.65800	-216.46300	-27.32150	41.23580	180.09000	77.42390	0.15235	-162.84200	-85.56130	-9.93658	95.00320	122.61900	51.60250
-999.10300	-247.67500	-22.31200	52.81980	223.12800	72.36090	-14.65890	-216.44400	-27.31360	41.23580	180.09500	77.42460	0.15138	-162.83300	-85.54880	-9.93130	95.00980	122.62200	51.60290
-999.00300	-247.65200	-22.30460	52.81830	223.13200	72.36130	-14.65970	-216.42600	-27.30570	41.23580	180.10000	77.42520	0.15041	-162.82300	-85.53620	-9.92602	95.01650	122.62600	51.60330
-998.90300	-247.62900	-22.29720	52.81680	223.13600	72.36160	-14.66060	-216.40800	-27.29780	41.23580	180.10500	77.42580	0.14944	-162.81300	-85.52370	-9.92074	95.02310	122.62900	51.60370
-998.80300	-247.60600	-22.28980	52.81530	223.14000	72.36200	-14.66140	-216.38900	-27.28990	41.23580	180.11000	77.42650	0.14846	-162.80400	-85.51110	-9.91547	95.02970	122.63300	51.60410
-998.70300	-247.58300	-22.28240	52.81380	223.14400	72.36230	-14.66220	-216.37100	-27.28200	41.23590	180.11500	77.42710	0.14749	-162.79400	-85.49860	-9.91019	95.03640	122.63600	51.60450
-998.60300	-247.56100	-22.27500	52.81230	223.14800	72.36260	-14.66310	-216.35200	-27.27400	41.23590	180.12000	77.42780	0.14652	-162.78400	-85.48600	-9.90491	95.04300	122.64000	51.60490
-998.50300	-247.53800	-22.26760	52.81080	223.15100	72.36300	-14.66390	-216.33400	-27.26610	41.23590	180.12600	77.42840	0.14554	-162.77400	-85.47350	-9.89964	95.04970	122.64300	51.60530
-998.40300	-247.51500	-22.26020	52.80930	223.15500	72.36330	-14.66480	-216.31500	-27.25820	41.23590	180.13100	77.42910	0.14457	-162.76500	-85.46090	-9.89436	95.05630	122.64700	51.60570
-998.30300	-247.49200	-22.25280	52.80780	223.15900	72.36360	-14.66560	-216.29700	-27.25030	41.23590	180.13600	77.42970	0.14360	-162.75500	-85.44840	-9.88908	95.06290	122.65000	51.60610
