time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	58.79590	-215.72100	98.22990	9.34449	204.49000	-102.86600	40.65500	-187.46400	86.92650	32.39610	164.06900	-86.26330	-45.46540	-149.59700	81.04050	113.62300	93.57260	-63.45440
-999.90300	58.79690	-215.70100	98.21930	9.34343	204.49300	-102.86800	40.65830	-187.44700	86.91770	32.39500	164.07400	-86.26570	-45.45380	-149.58700	81.03400	113.62500	93.57950	-63.45820
-999.80300	58.79790	-215.68000	98.20880	9.34238	204.49700	-102.87000	40.66160	-187.43100	86.90880	32.39390	164.07900	-86.26810	-45.44220	-149.57800	81.02760	113.62700	93.58650	-63.46200
-999.70300	58.79880	-215.65900	98.19830	9.34132	204.50100	-102.87200	40.66490	-187.41400	86.90000	32.39280	164.08400	-86.27050	-45.43060	-149.56800	81.02110	113.63000	93.59350	-63.46580
-999.60300	58.79980	-215.63800	98.18780	9.34026	204.50500	-102.87300	40.66820	-187.39700	86.89120	32.39170	164.08900	-86.27290	-45.41900	-149.55800	81.01460	113.63200	93.60050	-63.46950
-999.50300	58.80070	-215.61700	98.17730	9.33920	204.50900	-102.87500	40.67160	-187.38000	86.88240	32.39060	164.09400	-86.27530	-45.40730	-149.54900	81.00810	113.63400	93.60750	-63.47330
-999.40300	58.80170	-215.59600	98.16680	9.33815	204.51200	-102.87700	40.67490	-187.36300	86.87350	32.38940	164.10000	-86.27760	-45.39570	-149.53900	81.00160	113.63600	93.61440	-63.47710
-999.30300	58.80260	-215.57500	98.15620	9.33709	204.51600	-102.87900	40.67820	-187.34700	86.86470	32.38830	164.10500	-86.28000	-45.38410	-149.53000	80.99510	113.63800	93.62140	-63.48090
-999.20300	58.80360	-215.55400	98.14570	9.33603	204.52000	-102.88000	40.68150	-187.33000	86.85590	32.38720	164.11000	-86.28240	-45.37250	-149.52000	80.98860	113.64000	93.62840	-63.48470
-999.10300	58.80450	-215.53300	98.13520	9.33497	204.52400	-102.88200	40.68480	-187.31300	86.84700	32.38610	164.11500	-86.28480	-45.36080	-149.51100	80.98210	113.64200	93.63540	-63.48840
-999.00300	58.80550	-215.51200	98.12470	9.33391	204.52800	-102.88400	40.68810	-187.29600	86.83820	32.38500	164.12000	-86.28720	-45.34920	-149.50100	80.97560	113.64400	93.64240	-63.49220
-998.90300	58.80640	-215.49100	98.11420	9.33286	204.53100	-102.88500	40.69140	-187.28000	86.82940	32.38390	164.12500	-86.28960	-45.33760	-149.49100	80.96910	113.64600	93.64940	-63.49600
-998.80300	58.80740	-215.47100	98.10370	9.33180	204.53500	-102.88700	40.69470	-187.26300	86.82060	32.38270	164.13100	-86.29200	-45.32600	-149.48200	80.96260	113.64900	93.65640	-63.49980
-998.70300	58.80830	-215.45000	98.09320	9.33074	204.53900	-102.88900	40.69810	-187.24600	86.81170	32.38160	164.13600	-86.29430	-45.31430	-149.47200	80.95610	113.65100	93.66340	-63.50360
-998.60300	58.80930	-215.42900	98.08260	9.32968	204.54300	-102.89100	40.70140	-187.22900	86.80290	32.38050	164.14100	-86.29670	-45.30270	-149.46300	80.94960	113.65300	93.67030	-63.50740
-998.50300	58.81020	-215.40800	98.07210	9.32862	204.54700	-102.89200	40.70470	-187.21200	86.79410	32.37940	164.14600	-86.29910	-45.29110	-149.45300	80.94310	113.65500	93.67730	-63.51120
-998.40300	58.81120	-215.38700	98.06160	9.32756	204.55100	-102.89400	40.70800	-187.19600	86.78520	32.37820	164.15100	-86.30150	-45.27950	-149.44300	80.93660	113.65700	93.68430	-63.51500
-998.30300	58.81220	-215.36600	98.05110	9.32650	204.55400	-102.89600	40.71130	-187.17900	86.77640	32.37710	164.15600	-86.30390	-45.26780	-149.43400	80.93010	113.65900	93.69130	-63.51870
-998.20300	58.81310	-215.34500	98.04060	9.32543	204.55800	-102.89800	40.71460	-187.16200	86.76760	32.37600	164.16100	-86.30630	-45.25620	-149.42400	80.92360	113.66100	93.69830	-63.52250
-998.10300	58.81410	-215.32400	98.03000	9.32437	204.56200	-102.89900	40.71790	-187.14500	86.75880	32.37490	164.16700	-86.30870	-45.24460	-149.41500	80.91710	113.66300	93.70530	-63.52630
-998.00300	58.81500	-215.30300	98.01950	9.32331	204.56600	-102.90100	40.72120	-187.12900	86.74990	32.37380	164.17200	-86.31110	-45.23300	-149.40500	80.91060	113.66600	93.71230	-63.53010
-997.90300	58.81600	-215.28200	98.00900	9.32225	204.57000	-102.90300	40.72460	-187.11200	86.74110	32.37260	164.17700	-86.31350	-45.22130	-149.39600	80.90410	113.66800	93.71930	-63.53390
-997.80300	58.81690	-215.26100	97.99840	9.32119	204.57300	-102.90400	40.72790	-187.09500	86.73230	32.37150	164.18200	-86.31590	-45.20970	-149.38600	80.89760	113.67000	93.72630	-63.53770
-997.70300	58.81790	-215.24100	97.98790	9.32012	204.57700	-102.90600	40.73120	-187.07800	86.72340	32.37040	164.18700	-86.31830	-45.19810	-149.37600	80.89110	113.67200	93.73330	-63.54150
-997.60300	58.81880	-215.22000	97.97740	9.31906	204.58100	-102.90800	40.73450	-187.06100	86.71460	32.36930	164.19200	-86.32070	-45.18650	-149.36700	80.88460	113.67400	93.74030	-63.54530
-997.50300	58.81980	-215.19900	97.96690	9.31800	204.58500	-102.91000	40.73780	-187.04500	86.70580	32.36810	164.19800	-86.32310	-45.17480	-149.35700	80.87810	113.67600	93.74730	-63.54910
-997.40400	58.82070	-215.17800	97.95630	9.31693	204.58900	-102.91100	40.74110	-187.02800	86.69700	32.36700	164.20300	-86.32550	-45.16320	-149.34800	80.87160	113.67800	93.75430	-63.55290
-997.30400	58.82170	-215.15700	97.94580	9.31587	204.59200	-102.91300	40.74440	-187.01100	86.68810	32.36590	164.20800	-86.32790	-45.15160	-149.33800	80.86510	113.68000	93.76130	-63.55670
-997.20400	58.82260	-215.13600	97.93530	9.31481	204.59600	-102.91500	40.74770	-186.99400	86.67930	32.36480	164.21300	-86.33030	-45.14000	-149.32800	80.85860	113.68300	93.76840	-63.56050
-997.10400	58.82360	-215.11500	97.92470	9.31374	204.60000	-102.91700	40.75110	-186.97700	86.67050	32.36360	164.21800	-86.33260	-45.12830	-149.31900	80.85210	113.68500	93.77540	-63.56430
-997.00400	58.82450	-215.09400	97.91420	9.31268	204.60400	-102.91800	40.75440	-186.96100	86.66170	32.36250	164.22300	-86.33500	-45.11670	-149.30900	80.84560	113.68700	93.78240	-63.56810
-996.90400	58.82550	-215.07300	97.90370	9.31161	204.60800	-102.92000	40.75770	-186.94400	86.65280	32.36140	164.22900	-86.33740	-45.10510	-149.30000	80.83910	113.68900	93.78940	-63.57180
-996.80400	58.82650	-215.05200	97.89310	9.31055	204.61200	-102.92200	40.76100	-186.92700	86.64400	32.36030	164.23400	-86.33980	-45.09350	-149.29000	80.83260	113.69100	93.79640	-63.57560
-996.70400	58.82740	-215.03100	97.88260	9.30948	204.61500	-102.92400	40.76430	-186.91000	86.63520	32.35910	164.23900	-86.34220	-45.08180	-149.28000	80.82610	113.69300	93.80340	-63.57940
-996.60400	58.82840	-215.01000	97.87210	9.30842	204.61900	-102.92500	40.76760	-186.89400	86.62630	32.35800	164.24400	-86.34460	-45.07020	-149.27100	80.81960	113.69500	93.81040	-63.58320
-996.50400	58.82930	-214.98900	97.86150	9.30735	204.62300	-102.92700	40.77090	-186.87700	86.61750	32.35690	164.24900	-86.34700	-45.05860	-149.26100	80.81310	113.69700	93.81750	-63.58700
-996.40400	58.83030	-214.96800	97.85100	9.30628	204.62700	-102.92900	40.77420	-186.86000	86.60870	32.35570	164.25500	-86.34940	-45.04700	-149.25200	80.80660	113.69900	93.82450	-63.59080
-996.30400	58.83120	-214.94700	97.84050	9.30522	204.63100	-102.93100	40.77760	-186.84300	86.59990	32.35460	164.26000	-86.35180	-45.03530	-149.24200	80.80010	113.70200	93.83150	-63.59460
-996.20400	58.83220	-214.92600	97.82990	9.30415	204.63400	-102.93200	40.78090	-186.82600	86.59100	32.35350	164.26500	-86.35420	-45.02370	-149.23200	80.79360	113.70400	93.83850	-63.59840
-996.10400	58.83310	-214.90600	97.81940	9.30308	204.63800	-102.93400	40.78420	-186.80900	86.58220	32.35230	164.27000	-86.35660	-45.01210	-149.22300	80.78710	113.70600	93.84550	-63.60220
-996.00400	58.83410	-214.88500	97.80890	9.30201	204.64200	-102.93600	40.78750	-186.79300	86.57340	32.35120	164.27500	-86.35900	-45.00050	-149.21300	80.78060	113.70800	93.85260	-63.60610
-995.90400	58.83500	-214.86400	97.79840	9.30095	204.64600	-102.93700	40.79080	-186.77600	86.56450	32.35010	164.28000	-86.36140	-44.98880	-149.20400	80.77410	113.71000	93.85960	-63.60990
-995.80400	58.83600	-214.84300	97.78780	9.29988	204.65000	-102.93900	40.79410	-186.75900	86.55570	32.34900	164.28600	-86.36380	-44.97720	-149.19400	80.76760	113.71200	93.86660	-63.61370
-995.70400	58.83690	-214.82200	97.77730	9.29881	204.65400	-102.94100	40.79740	-186.74200	86.54690	32.34780	164.29100	-86.36620	-44.96560	-149.18400	80.76110	113.71400	93.87360	-63.61750
-995.60400	58.83790	-214.80100	97.76680	9.29774	204.65700	-102.94300	40.80070	-186.72500	86.53810	32.34670	164.29600	-86.36860	-44.95390	-149.17500	80.75460	113.71600	93.88070	-63.62130
-995.50400	58.83880	-214.78000	97.75620	9.29667	204.66100	-102.94400	40.80400	-186.70900	86.52920	32.34560	164.30100	-86.37100	-44.94230	-149.16500	80.74810	113.71900	93.88770	-63.62510
-995.40400	58.83980	-214.75900	97.74570	9.29560	204.66500	-102.94600	40.80730	-186.69200	86.52040	32.34440	164.30600	-86.37340	-44.93070	-149.15600	80.74160	113.72100	93.89470	-63.62890
-995.30400	58.84070	-214.73800	97.73520	9.29453	204.66900	-102.94800	40.81060	-186.67500	86.51160	32.34330	164.31100	-86.37580	-44.91900	-149.14600	80.73510	113.72300	93.90180	-63.63270
-995.20400	58.84170	-214.71700	97.72460	9.29346	204.67300	-102.95000	40.81390	-186.65800	86.50270	32.34220	164.31700	-86.37820	-44.90740	-149.13700	80.72860	113.72500	93.90880	-63.63650
-995.10400	58.84270	-214.69600	97.71410	9.29239	204.67700	-102.95100	40.81720	-186.64100	86.49390	32.34100	164.32200	-86.38060	-44.89580	-149.12700	80.72210	113.72700	93.91580	-63.64030
