time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	60.77480	-200.06200	126.18700	8.02050	194.01300	-121.56900	42.28800	-174.55700	109.97200	31.54370	157.33500	-98.28680	-44.82460	-144.52500	90.09430	113.94500	96.11710	-58.90950
-999.90300	60.77560	-200.04200	126.17500	8.01941	194.01600	-121.57100	42.29120	-174.54100	109.96200	31.54250	157.34000	-98.28990	-44.81290	-144.51500	90.08830	113.94800	96.12380	-58.91370
-999.80300	60.77640	-200.02200	126.16200	8.01832	194.02000	-121.57400	42.29440	-174.52500	109.95200	31.54140	157.34500	-98.29290	-44.80130	-144.50500	90.08220	113.95000	96.13060	-58.91790
-999.70300	60.77720	-200.00200	126.15000	8.01722	194.02300	-121.57600	42.29770	-174.50900	109.94200	31.54020	157.35000	-98.29590	-44.78960	-144.49500	90.07620	113.95200	96.13730	-58.92210
-999.60300	60.77810	-199.98200	126.13700	8.01613	194.02700	-121.57800	42.30090	-174.49300	109.93100	31.53900	157.35500	-98.29890	-44.77800	-144.48600	90.07020	113.95400	96.14410	-58.92630
-999.50300	60.77890	-199.96300	126.12500	8.01504	194.03100	-121.58000	42.30410	-174.47600	109.92100	31.53790	157.35900	-98.30190	-44.76630	-144.47600	90.06410	113.95600	96.15080	-58.93050
-999.40300	60.77970	-199.94300	126.11200	8.01395	194.03400	-121.58200	42.30730	-174.46000	109.91100	31.53670	157.36400	-98.30500	-44.75470	-144.46600	90.05810	113.95800	96.15760	-58.93470
-999.30300	60.78050	-199.92300	126.10000	8.01285	194.03800	-121.58500	42.31060	-174.44400	109.90100	31.53550	157.36900	-98.30800	-44.74300	-144.45600	90.05210	113.96000	96.16430	-58.93890
-999.20300	60.78130	-199.90300	126.08700	8.01176	194.04100	-121.58700	42.31380	-174.42800	109.89100	31.53440	157.37400	-98.31100	-44.73130	-144.44600	90.04600	113.96200	96.17110	-58.94310
-999.10300	60.78220	-199.88300	126.07500	8.01067	194.04500	-121.58900	42.31700	-174.41200	109.88100	31.53320	157.37900	-98.31400	-44.71970	-144.43600	90.04000	113.96400	96.17780	-58.94730
-999.00300	60.78300	-199.86300	126.06300	8.00957	194.04800	-121.59100	42.32020	-174.39600	109.87100	31.53210	157.38300	-98.31700	-44.70800	-144.42600	90.03400	113.96600	96.18460	-58.95150
-998.90300	60.78380	-199.84400	126.05000	8.00848	194.05200	-121.59400	42.32350	-174.38000	109.86100	31.53090	157.38800	-98.32010	-44.69640	-144.41700	90.02790	113.96800	96.19130	-58.95570
-998.80300	60.78460	-199.82400	126.03800	8.00739	194.05500	-121.59600	42.32670	-174.36400	109.85100	31.52970	157.39300	-98.32310	-44.68470	-144.40700	90.02190	113.97100	96.19810	-58.95990
-998.70300	60.78540	-199.80400	126.02500	8.00629	194.05900	-121.59800	42.32990	-174.34800	109.84100	31.52860	157.39800	-98.32610	-44.67310	-144.39700	90.01590	113.97300	96.20480	-58.96420
-998.60300	60.78630	-199.78400	126.01300	8.00520	194.06200	-121.60000	42.33320	-174.33200	109.83100	31.52740	157.40300	-98.32910	-44.66140	-144.38700	90.00980	113.97500	96.21160	-58.96840
-998.50300	60.78710	-199.76400	126.00000	8.00410	194.06600	-121.60200	42.33640	-174.31600	109.82100	31.52620	157.40700	-98.33220	-44.64980	-144.37700	90.00380	113.97700	96.21830	-58.97260
-998.40300	60.78790	-199.74400	125.98800	8.00300	194.06900	-121.60500	42.33960	-174.29900	109.81100	31.52510	157.41200	-98.33520	-44.63810	-144.36700	89.99780	113.97900	96.22510	-58.97680
-998.30300	60.78870	-199.72500	125.97600	8.00191	194.07300	-121.60700	42.34280	-174.28300	109.80100	31.52390	157.41700	-98.33820	-44.62640	-144.35800	89.99180	113.98100	96.23180	-58.98100
-998.20300	60.78950	-199.70500	125.96300	8.00081	194.07600	-121.60900	42.34610	-174.26700	109.79100	31.52270	157.42200	-98.34120	-44.61480	-144.34800	89.98570	113.98300	96.23860	-58.98520
-998.10300	60.79040	-199.68500	125.95100	7.99972	194.08000	-121.61100	42.34930	-174.25100	109.78100	31.52160	157.42700	-98.34430	-44.60310	-144.33800	89.97970	113.98500	96.24540	-58.98940
-998.00300	60.79120	-199.66500	125.93800	7.99862	194.08300	-121.61400	42.35250	-174.23500	109.77100	31.52040	157.43100	-98.34730	-44.59150	-144.32800	89.97370	113.98700	96.25210	-58.99360
-997.90300	60.79200	-199.64500	125.92600	7.99752	194.08700	-121.61600	42.35570	-174.21900	109.76000	31.51920	157.43600	-98.35030	-44.57980	-144.31800	89.96760	113.98900	96.25890	-58.99790
