time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	78.12230	-218.75000	108.81900	-11.66810	214.14400	-98.89700	59.84290	-194.28100	95.52370	11.38950	180.06300	-80.66150	-28.06300	-168.61400	73.48400	97.66330	123.97500	-44.95940
-999.90300	78.12110	-218.72800	108.80900	-11.66930	214.14800	-98.89870	59.84400	-194.26200	95.51540	11.38810	180.06800	-80.66370	-28.05300	-168.60100	73.47940	97.66450	123.98200	-44.96230
-999.80300	78.11990	-218.70700	108.79900	-11.67050	214.15100	-98.90030	59.84520	-194.24400	95.50720	11.38670	180.07200	-80.66590	-28.04310	-168.58900	73.47480	97.66560	123.98800	-44.96520
-999.70300	78.11870	-218.68500	108.78900	-11.67170	214.15400	-98.90200	59.84640	-194.22600	95.49890	11.38540	180.07700	-80.66800	-28.03310	-168.57600	73.47020	97.66670	123.99500	-44.96810
-999.60300	78.11750	-218.66300	108.77900	-11.67290	214.15800	-98.90370	59.84750	-194.20700	95.49070	11.38400	180.08100	-80.67020	-28.02310	-168.56300	73.46560	97.66780	124.00200	-44.97100
-999.50300	78.11640	-218.64100	108.76900	-11.67410	214.16100	-98.90540	59.84870	-194.18900	95.48240	11.38260	180.08600	-80.67240	-28.01310	-168.55100	73.46100	97.66890	124.00800	-44.97390
-999.40300	78.11520	-218.61900	108.75900	-11.67530	214.16400	-98.90700	59.84990	-194.17000	95.47420	11.38130	180.09000	-80.67460	-28.00310	-168.53800	73.45640	97.67000	124.01500	-44.97680
-999.30300	78.11400	-218.59700	108.74900	-11.67650	214.16800	-98.90870	59.85100	-194.15200	95.46590	11.37990	180.09400	-80.67680	-27.99310	-168.52500	73.45180	97.67110	124.02200	-44.97970
-999.20300	78.11280	-218.57500	108.73900	-11.67780	214.17100	-98.91040	59.85220	-194.13300	95.45770	11.37850	180.09900	-80.67890	-27.98310	-168.51300	73.44720	97.67220	124.02800	-44.98260
-999.10300	78.11160	-218.55300	108.72800	-11.67900	214.17500	-98.91200	59.85330	-194.11500	95.44940	11.37720	180.10300	-80.68110	-27.97310	-168.50000	73.44260	97.67330	124.03500	-44.98550
-999.00300	78.11040	-218.53100	108.71800	-11.68020	214.17800	-98.91370	59.85450	-194.09700	95.44120	11.37580	180.10800	-80.68330	-27.96320	-168.48700	73.43800	97.67450	124.04200	-44.98840
-998.90300	78.10920	-218.50900	108.70800	-11.68140	214.18100	-98.91540	59.85570	-194.07800	95.43290	11.37440	180.11200	-80.68550	-27.95320	-168.47500	73.43340	97.67560	124.04800	-44.99140
-998.80300	78.10800	-218.48800	108.69800	-11.68260	214.18500	-98.91710	59.85680	-194.06000	95.42470	11.37310	180.11700	-80.68760	-27.94320	-168.46200	73.42880	97.67670	124.05500	-44.99430
-998.70300	78.10690	-218.46600	108.68800	-11.68380	214.18800	-98.91870	59.85800	-194.04100	95.41640	11.37170	180.12100	-80.68980	-27.93320	-168.44900	73.42420	97.67780	124.06200	-44.99720
-998.60300	78.10570	-218.44400	108.67800	-11.68500	214.19100	-98.92040	59.85920	-194.02300	95.40820	11.37030	180.12600	-80.69200	-27.92320	-168.43600	73.41960	97.67890	124.06900	-45.00010
-998.50300	78.10450	-218.42200	108.66800	-11.68630	214.19500	-98.92210	59.86030	-194.00500	95.39990	11.36890	180.13000	-80.69420	-27.91320	-168.42400	73.41500	97.68000	124.07500	-45.00300
-998.40300	78.10330	-218.40000	108.65800	-11.68750	214.19800	-98.92370	59.86150	-193.98600	95.39170	11.36760	180.13400	-80.69640	-27.90320	-168.41100	73.41040	97.68110	124.08200	-45.00590
-998.30300	78.10210	-218.37800	108.64800	-11.68870	214.20100	-98.92540	59.86270	-193.96800	95.38340	11.36620	180.13900	-80.69860	-27.89320	-168.39800	73.40580	97.68220	124.08900	-45.00880
-998.20300	78.10090	-218.35600	108.63700	-11.68990	214.20500	-98.92710	59.86380	-193.94900	95.37520	11.36480	180.14300	-80.70080	-27.88320	-168.38600	73.40120	97.68330	124.09500	-45.01170
-998.10300	78.09970	-218.33400	108.62700	-11.69110	214.20800	-98.92870	59.86500	-193.93100	95.36690	11.36350	180.14800	-80.70290	-27.87330	-168.37300	73.39660	97.68440	124.10200	-45.01470
-998.00300	78.09850	-218.31200	108.61700	-11.69230	214.21100	-98.93040	59.86620	-193.91200	95.35870	11.36210	180.15200	-80.70510	-27.86330	-168.36000	73.39190	97.68550	124.10900	-45.01760
-997.90300	78.09730	-218.29000	108.60700	-11.69360	214.21500	-98.93210	59.86730	-193.89400	95.35040	11.36070	180.15700	-80.70730	-27.85330	-168.34800	73.38730	97.68660	124.11500	-45.02050
-997.80300	78.09610	-218.26800	108.59700	-11.69480	214.21800	-98.93380	59.86850	-193.87600	95.34220	11.35940	180.16100	-80.70950	-27.84330	-168.33500	73.38270	97.68770	124.12200	-45.02340
-997.70300	78.09490	-218.24700	108.58700	-11.69600	214.22200	-98.93540	59.86960	-193.85700	95.33390	11.35800	180.16600	-80.71170	-27.83330	-168.32200	73.37810	97.68880	124.12900	-45.02630
-997.60300	78.09370	-218.22500	108.57700	-11.69720	214.22500	-98.93710	59.87080	-193.83900	95.32570	11.35660	180.17000	-80.71390	-27.82330	-168.31000	73.37350	97.68990	124.13500	-45.02920
-997.50300	78.09250	-218.20300	108.56700	-11.69840	214.22800	-98.93880	59.87200	-193.82000	95.31740	11.35520	180.17400	-80.71610	-27.81330	-168.29700	73.36890	97.69100	124.14200	-45.03220
-997.40400	78.09130	-218.18100	108.55600	-11.69960	214.23200	-98.94050	59.87310	-193.80200	95.30920	11.35390	180.17900	-80.71820	-27.80330	-168.28400	73.36430	97.69210	124.14900	-45.03510
-997.30400	78.09010	-218.15900	108.54600	-11.70090	214.23500	-98.94210	59.87430	-193.78300	95.30090	11.35250	180.18300	-80.72040	-27.79330	-168.27100	73.35970	97.69320	124.15500	-45.03800
-997.20400	78.08890	-218.13700	108.53600	-11.70210	214.23800	-98.94380	59.87550	-193.76500	95.29270	11.35110	180.18800	-80.72260	-27.78330	-168.25900	73.35510	97.69440	124.16200	-45.04090
-997.10400	78.08770	-218.11500	108.52600	-11.70330	214.24200	-98.94550	59.87660	-193.74700	95.28440	11.34970	180.19200	-80.72480	-27.77330	-168.24600	73.35050	97.69550	124.16900	-45.04380
-997.00400	78.08650	-218.09300	108.51600	-11.70450	214.24500	-98.94720	59.87780	-193.72800	95.27620	11.34840	180.19700	-80.72700	-27.76330	-168.23300	73.34580	97.69660	124.17600	-45.04680
-996.90400	78.08530	-218.07100	108.50600	-11.70570	214.24800	-98.94880	59.87900	-193.71000	95.26790	11.34700	180.20100	-80.72920	-27.75330	-168.22100	73.34120	97.69770	124.18200	-45.04970
-996.80400	78.08410	-218.04900	108.49600	-11.70700	214.25200	-98.95050	59.88010	-193.69100	95.25970	11.34560	180.20600	-80.73140	-27.74340	-168.20800	73.33660	97.69880	124.18900	-45.05260
-996.70400	78.08290	-218.02700	108.48600	-11.70820	214.25500	-98.95220	59.88130	-193.67300	95.25140	11.34420	180.21000	-80.73360	-27.73340	-168.19500	73.33200	97.69990	124.19600	-45.05550
-996.60400	78.08160	-218.00600	108.47500	-11.70940	214.25900	-98.95390	59.88240	-193.65400	95.24320	11.34290	180.21400	-80.73570	-27.72340	-168.18300	73.32740	97.70100	124.20200	-45.05840
-996.50400	78.08040	-217.98400	108.46500	-11.71060	214.26200	-98.95550	59.88360	-193.63600	95.23490	11.34150	180.21900	-80.73790	-27.71340	-168.17000	73.32280	97.70210	124.20900	-45.06140
-996.40400	78.07920	-217.96200	108.45500	-11.71180	214.26500	-98.95720	59.88480	-193.61700	95.22670	11.34010	180.22300	-80.74010	-27.70340	-168.15700	73.31820	97.70320	124.21600	-45.06430
-996.30400	78.07800	-217.94000	108.44500	-11.71310	214.26900	-98.95890	59.88590	-193.59900	95.21840	11.33870	180.22800	-80.74230	-27.69340	-168.14500	73.31360	97.70430	124.22200	-45.06720
-996.20400	78.07680	-217.91800	108.43500	-11.71430	214.27200	-98.96060	59.88710	-193.58100	95.21020	11.33730	180.23200	-80.74450	-27.68340	-168.13200	73.30900	97.70540	124.22900	-45.07010
-996.10400	78.07560	-217.89600	108.42500	-11.71550	214.27500	-98.96230	59.88820	-193.56200	95.20190	11.33600	180.23700	-80.74670	-27.67340	-168.11900	73.30440	97.70650	124.23600	-45.07310
-996.00400	78.07440	-217.87400	108.41500	-11.71670	214.27900	-98.96390	59.88940	-193.54400	95.19360	11.33460	180.24100	-80.74890	-27.66340	-168.10600	73.29980	97.70760	124.24300	-45.07600
-995.90400	78.07320	-217.85200	108.40500	-11.71800	214.28200	-98.96560	59.89050	-193.52500	95.18540	11.33320	180.24600	-80.75110	-27.65340	-168.09400	73.29520	97.70870	124.24900	-45.07890
-995.80400	78.07200	-217.83000	108.39400	-11.71920	214.28500	-98.96730	59.89170	-193.50700	95.17710	11.33180	180.25000	-80.75330	-27.64340	-168.08100	73.29050	97.70980	124.25600	-45.08180
-995.70400	78.07080	-217.80800	108.38400	-11.72040	214.28900	-98.96900	59.89290	-193.48800	95.16880	11.33050	180.25500	-80.75550	-27.63340	-168.06800	73.28590	97.71090	124.26300	-45.08480
-995.60400	78.06960	-217.78600	108.37400	-11.72160	214.29200	-98.97060	59.89400	-193.47000	95.16060	11.32910	180.25900	-80.75770	-27.62340	-168.05600	73.28130	97.71200	124.26900	-45.08770
-995.50400	78.06840	-217.76500	108.36400	-11.72290	214.29600	-98.97230	59.89520	-193.45200	95.15230	11.32770	180.26300	-80.75990	-27.61350	-168.04300	73.27670	97.71310	124.27600	-45.09060
-995.40400	78.06720	-217.74300	108.35400	-11.72410	214.29900	-98.97400	59.89630	-193.43300	95.14400	11.32630	180.26800	-80.76210	-27.60350	-168.03000	73.27210	97.71420	124.28300	-45.09360
-995.30400	78.06600	-217.72100	108.34400	-11.72530	214.30200	-98.97570	59.89750	-193.41500	95.13580	11.32490	180.27200	-80.76430	-27.59350	-168.01700	73.26750	97.71530	124.29000	-45.09650
