time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-11.86340	-211.50200	14.08480	66.07030	183.07800	27.06330	-24.52220	-162.52500	-0.01432	78.75360	106.61700	44.09370	-84.06990	-68.63100	-51.86320	88.79740	-48.65680	67.62760
-999.90300	-11.85660	-211.48300	14.08750	66.07060	183.08400	27.06290	-24.51410	-162.51400	-0.00981	78.75490	106.62600	44.09370	-84.06080	-68.63600	-51.85630	88.80980	-48.64680	67.63520
-999.80300	-11.84990	-211.46500	14.09030	66.07090	183.08900	27.06250	-24.50600	-162.50300	-0.00530	78.75630	106.63500	44.09370	-84.05170	-68.64100	-51.84940	88.82210	-48.63670	67.64280
-999.70300	-11.84310	-211.44600	14.09310	66.07110	183.09500	27.06210	-24.49800	-162.49300	-0.00079	78.75770	106.64400	44.09370	-84.04270	-68.64590	-51.84250	88.83440	-48.62670	67.65040
-999.60300	-11.83640	-211.42700	14.09580	66.07140	183.10000	27.06170	-24.48990	-162.48200	0.00372	78.75900	106.65300	44.09370	-84.03360	-68.65090	-51.83550	88.84670	-48.61660	67.65800
-999.50300	-11.82960	-211.40800	14.09860	66.07170	183.10600	27.06130	-24.48190	-162.47100	0.00823	78.76040	106.66200	44.09370	-84.02450	-68.65590	-51.82860	88.85900	-48.60660	67.66550
-999.40300	-11.82290	-211.39000	14.10140	66.07190	183.11200	27.06090	-24.47380	-162.46000	0.01274	78.76170	106.67100	44.09370	-84.01540	-68.66080	-51.82170	88.87130	-48.59650	67.67310
-999.30300	-11.81610	-211.37100	14.10410	66.07220	183.11700	27.06050	-24.46580	-162.44900	0.01725	78.76310	106.68000	44.09370	-84.00630	-68.66580	-51.81480	88.88360	-48.58650	67.68070
-999.20300	-11.80930	-211.35200	14.10690	66.07250	183.12300	27.06010	-24.45770	-162.43800	0.02176	78.76450	106.68900	44.09370	-83.99720	-68.67080	-51.80780	88.89590	-48.57640	67.68830
-999.10300	-11.80260	-211.33400	14.10970	66.07270	183.12800	27.05970	-24.44970	-162.42700	0.02627	78.76580	106.69800	44.09370	-83.98810	-68.67580	-51.80090	88.90820	-48.56630	67.69590
-999.00300	-11.79580	-211.31500	14.11240	66.07300	183.13400	27.05930	-24.44160	-162.41600	0.03078	78.76720	106.70700	44.09370	-83.97900	-68.68070	-51.79400	88.92050	-48.55630	67.70350
-998.90300	-11.78910	-211.29600	14.11520	66.07330	183.13900	27.05890	-24.43350	-162.40500	0.03529	78.76860	106.71600	44.09370	-83.96990	-68.68570	-51.78710	88.93280	-48.54620	67.71110
