time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-9.42908	-83.22220	113.01000	108.77400	33.01060	-150.52200	-17.85110	-62.38030	95.55970	119.24000	-9.46959	-108.21500	-57.47570	-22.07780	85.30170	141.40600	-78.03870	-45.22530
-999.90300	-9.41795	-83.21880	112.99500	108.77400	33.01780	-150.53200	-17.83890	-62.38120	95.54860	119.24300	-9.46004	-108.22900	-57.46130	-22.08580	85.29700	141.41900	-78.03390	-45.24390
-999.80300	-9.40683	-83.21550	112.97900	108.77500	33.02500	-150.54100	-17.82670	-62.38220	95.53750	119.24600	-9.45049	-108.24400	-57.44680	-22.09380	85.29240	141.43100	-78.02910	-45.26260
-999.70300	-9.39570	-83.21210	112.96400	108.77500	33.03220	-150.55100	-17.81450	-62.38320	95.52650	119.24800	-9.44094	-108.25900	-57.43230	-22.10170	85.28780	141.44400	-78.02420	-45.28130
-999.60300	-9.38458	-83.20870	112.94900	108.77600	33.03940	-150.56000	-17.80230	-62.38420	95.51540	119.25100	-9.43138	-108.27300	-57.41790	-22.10970	85.28310	141.45600	-78.01940	-45.30000
-999.50300	-9.37345	-83.20540	112.93300	108.77600	33.04660	-150.57000	-17.79010	-62.38510	95.50430	119.25400	-9.42182	-108.28800	-57.40340	-22.11770	85.27850	141.46900	-78.01460	-45.31860
-999.40300	-9.36233	-83.20200	112.91800	108.77700	33.05380	-150.57900	-17.77790	-62.38610	95.49320	119.25700	-9.41225	-108.30200	-57.38890	-22.12570	85.27390	141.48200	-78.00970	-45.33730
-999.30300	-9.35120	-83.19860	112.90200	108.77700	33.06100	-150.58800	-17.76570	-62.38700	95.48220	119.25900	-9.40269	-108.31700	-57.37450	-22.13370	85.26920	141.49400	-78.00490	-45.35600
-999.20300	-9.34008	-83.19520	112.88700	108.77800	33.06820	-150.59800	-17.75350	-62.38800	95.47110	119.26200	-9.39312	-108.33200	-57.36000	-22.14160	85.26460	141.50700	-78.00000	-45.37470
-999.10300	-9.32895	-83.19180	112.87200	108.77800	33.07540	-150.60700	-17.74130	-62.38900	95.46000	119.26500	-9.38355	-108.34600	-57.34550	-22.14960	85.25990	141.51900	-77.99520	-45.39340
-999.00300	-9.31783	-83.18850	112.85600	108.77900	33.08260	-150.61700	-17.72910	-62.38990	95.44890	119.26700	-9.37398	-108.36100	-57.33100	-22.15760	85.25530	141.53200	-77.99030	-45.41210
-998.90300	-9.30670	-83.18510	112.84100	108.77900	33.08980	-150.62600	-17.71690	-62.39090	95.43780	119.27000	-9.36440	-108.37600	-57.31660	-22.16560	85.25070	141.54500	-77.98540	-45.43080
-998.80300	-9.29558	-83.18170	112.82500	108.78000	33.09700	-150.63600	-17.70470	-62.39180	95.42680	119.27300	-9.35482	-108.39000	-57.30210	-22.17350	85.24600	141.55700	-77.98060	-45.44950
-998.70300	-9.28445	-83.17830	112.81000	108.78000	33.10420	-150.64500	-17.69250	-62.39280	95.41570	119.27600	-9.34524	-108.40500	-57.28760	-22.18150	85.24140	141.57000	-77.97570	-45.46820
-998.60300	-9.27333	-83.17490	112.79500	108.78100	33.11140	-150.65500	-17.68030	-62.39370	95.40460	119.27800	-9.33566	-108.42000	-57.27310	-22.18950	85.23670	141.58200	-77.97080	-45.48690
-998.50300	-9.26220	-83.17150	112.77900	108.78100	33.11860	-150.66400	-17.66810	-62.39470	95.39350	119.28100	-9.32607	-108.43400	-57.25870	-22.19750	85.23210	141.59500	-77.96600	-45.50560
-998.40300	-9.25108	-83.16810	112.76400	108.78200	33.12580	-150.67400	-17.65590	-62.39560	95.38240	119.28400	-9.31648	-108.44900	-57.24420	-22.20540	85.22740	141.60700	-77.96110	-45.52440
-998.30300	-9.23995	-83.16470	112.74800	108.78200	33.13310	-150.68300	-17.64370	-62.39660	95.37130	119.28600	-9.30689	-108.46400	-57.22970	-22.21340	85.22270	141.62000	-77.95620	-45.54310
-998.20300	-9.22883	-83.16130	112.73300	108.78300	33.14030	-150.69300	-17.63150	-62.39760	95.36020	119.28900	-9.29730	-108.47800	-57.21520	-22.22140	85.21810	141.63300	-77.95130	-45.56180
-998.10300	-9.21770	-83.15800	112.71700	108.78300	33.14750	-150.70200	-17.61930	-62.39850	95.34910	119.29200	-9.28770	-108.49300	-57.20070	-22.22940	85.21340	141.64500	-77.94640	-45.58060
-998.00300	-9.20658	-83.15460	112.70200	108.78400	33.15470	-150.71200	-17.60710	-62.39950	95.33800	119.29500	-9.27810	-108.50800	-57.18620	-22.23730	85.20880	141.65800	-77.94150	-45.59930
-997.90300	-9.19545	-83.15120	112.68700	108.78400	33.16190	-150.72100	-17.59490	-62.40040	95.32690	119.29700	-9.26850	-108.52200	-57.17170	-22.24530	85.20410	141.67000	-77.93660	-45.61810
-997.80300	-9.18433	-83.14780	112.67100	108.78500	33.16920	-150.73100	-17.58270	-62.40130	95.31580	119.30000	-9.25889	-108.53700	-57.15730	-22.25330	85.19940	141.68300	-77.93170	-45.63680
-997.70300	-9.17320	-83.14440	112.65600	108.78500	33.17640	-150.74000	-17.57050	-62.40230	95.30470	119.30300	-9.24928	-108.55200	-57.14280	-22.26120	85.19480	141.69500	-77.92680	-45.65560
