time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-74.71720	-21.87960	117.15200	16.22680	119.96300	-144.65000	-54.62950	-27.82440	97.89330	-23.86070	124.98400	-99.13580	-12.80570	-64.04970	82.46880	-89.24230	138.67600	-30.59530
-999.90300	-74.71550	-21.86730	117.13800	16.23330	119.96500	-144.66000	-54.63200	-27.81160	97.88310	-23.85230	124.98900	-99.15080	-12.81490	-64.03550	82.46570	-89.23950	138.69000	-30.61330
-999.80300	-74.71380	-21.85500	117.12300	16.23980	119.96600	-144.66900	-54.63440	-27.79880	97.87300	-23.84400	124.99300	-99.16580	-12.82400	-64.02130	82.46260	-89.23670	138.70400	-30.63140
-999.70300	-74.71220	-21.84280	117.10800	16.24630	119.96800	-144.67900	-54.63680	-27.78600	97.86290	-23.83560	124.99700	-99.18080	-12.83310	-64.00720	82.45940	-89.23390	138.71800	-30.64940
-999.60300	-74.71050	-21.83050	117.09300	16.25280	119.96900	-144.68900	-54.63930	-27.77320	97.85270	-23.82720	125.00100	-99.19580	-12.84220	-63.99300	82.45630	-89.23110	138.73200	-30.66750
-999.50300	-74.70890	-21.81820	117.07800	16.25930	119.97100	-144.69900	-54.64170	-27.76040	97.84260	-23.81890	125.00600	-99.21080	-12.85140	-63.97880	82.45310	-89.22830	138.74700	-30.68550
-999.40300	-74.70720	-21.80600	117.06400	16.26580	119.97300	-144.70900	-54.64410	-27.74770	97.83240	-23.81050	125.01000	-99.22570	-12.86050	-63.96460	82.45000	-89.22540	138.76100	-30.70360
-999.30300	-74.70560	-21.79370	117.04900	16.27230	119.97400	-144.71900	-54.64660	-27.73490	97.82230	-23.80210	125.01400	-99.24080	-12.86960	-63.95040	82.44690	-89.22260	138.77500	-30.72170
-999.20300	-74.70390	-21.78140	117.03400	16.27880	119.97600	-144.72900	-54.64900	-27.72210	97.81210	-23.79370	125.01800	-99.25580	-12.87870	-63.93620	82.44370	-89.21980	138.78900	-30.73970
-999.10300	-74.70220	-21.76920	117.01900	16.28530	119.97700	-144.73800	-54.65150	-27.70930	97.80200	-23.78540	125.02300	-99.27080	-12.88790	-63.92200	82.44060	-89.21700	138.80300	-30.75780
-999.00300	-74.70050	-21.75690	117.00400	16.29180	119.97900	-144.74800	-54.65390	-27.69650	97.79180	-23.77700	125.02700	-99.28580	-12.89700	-63.90780	82.43740	-89.21410	138.81700	-30.77590
-998.90300	-74.69890	-21.74460	116.99000	16.29830	119.98000	-144.75800	-54.65630	-27.68370	97.78170	-23.76860	125.03100	-99.30080	-12.90610	-63.89360	82.43430	-89.21130	138.83100	-30.79400
-998.80300	-74.69720	-21.73230	116.97500	16.30480	119.98200	-144.76800	-54.65870	-27.67090	97.77150	-23.76020	125.03500	-99.31580	-12.91520	-63.87940	82.43110	-89.20850	138.84500	-30.81210
-998.70300	-74.69550	-21.72010	116.96000	16.31130	119.98400	-144.77800	-54.66120	-27.65810	97.76140	-23.75180	125.04000	-99.33080	-12.92440	-63.86520	82.42800	-89.20570	138.85900	-30.83020
-998.60300	-74.69390	-21.70780	116.94500	16.31780	119.98500	-144.78800	-54.66360	-27.64540	97.75120	-23.74340	125.04400	-99.34580	-12.93350	-63.85100	82.42480	-89.20280	138.87300	-30.84830
-998.50300	-74.69220	-21.69550	116.93000	16.32430	119.98700	-144.79800	-54.66600	-27.63260	97.74100	-23.73500	125.04800	-99.36080	-12.94260	-63.83680	82.42170	-89.20000	138.88700	-30.86640
-998.40300	-74.69050	-21.68330	116.91600	16.33080	119.98800	-144.80700	-54.66850	-27.61980	97.73090	-23.72660	125.05200	-99.37580	-12.95170	-63.82260	82.41850	-89.19710	138.90100	-30.88450
-998.30300	-74.68880	-21.67100	116.90100	16.33740	119.99000	-144.81700	-54.67090	-27.60700	97.72070	-23.71820	125.05700	-99.39090	-12.96090	-63.80840	82.41540	-89.19430	138.91500	-30.90260
-998.20300	-74.68720	-21.65870	116.88600	16.34390	119.99100	-144.82700	-54.67330	-27.59420	97.71050	-23.70980	125.06100	-99.40590	-12.97000	-63.79420	82.41220	-89.19140	138.92900	-30.92070
-998.10300	-74.68550	-21.64650	116.87100	16.35040	119.99300	-144.83700	-54.67570	-27.58140	97.70040	-23.70140	125.06500	-99.42090	-12.97910	-63.78000	82.40900	-89.18860	138.94300	-30.93880
-998.00300	-74.68380	-21.63420	116.85600	16.35690	119.99400	-144.84700	-54.67820	-27.56860	97.69020	-23.69300	125.06900	-99.43600	-12.98820	-63.76580	82.40590	-89.18570	138.95700	-30.95690
-997.90300	-74.68220	-21.62190	116.84200	16.36350	119.99600	-144.85700	-54.68060	-27.55580	97.68000	-23.68450	125.07400	-99.45100	-12.99730	-63.75160	82.40270	-89.18290	138.97100	-30.97510
-997.80300	-74.68050	-21.60960	116.82700	16.37000	119.99800	-144.86700	-54.68300	-27.54300	97.66990	-23.67610	125.07800	-99.46600	-13.00650	-63.73740	82.39950	-89.18000	138.98500	-30.99320
-997.70300	-74.67880	-21.59740	116.81200	16.37650	119.99900	-144.87600	-54.68540	-27.53020	97.65970	-23.66770	125.08200	-99.48110	-13.01560	-63.72310	82.39640	-89.17710	138.99900	-31.01130
-997.60300	-74.67710	-21.58510	116.79700	16.38310	120.00100	-144.88600	-54.68780	-27.51750	97.64950	-23.65930	125.08600	-99.49610	-13.02470	-63.70890	82.39320	-89.17430	139.01300	-31.02950
