time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-94.58720	-19.19110	116.08000	35.36970	103.27200	-159.95300	-68.03780	-24.64290	96.64290	-15.57010	108.21000	-115.96300	-10.95140	-62.72030	86.81390	-102.26100	121.64600	-47.20150
-999.90300	-94.58350	-19.18050	116.06300	35.37630	103.27400	-159.96100	-68.03940	-24.63190	96.63100	-15.56110	108.21400	-115.97600	-10.96190	-62.70790	86.80900	-102.25900	121.65900	-47.21920
-999.80300	-94.57990	-19.16990	116.04700	35.38290	103.27500	-159.96900	-68.04100	-24.62080	96.61920	-15.55200	108.21700	-115.98900	-10.97230	-62.69540	86.80420	-102.25700	121.67200	-47.23690
-999.70300	-94.57630	-19.15940	116.03000	35.38950	103.27600	-159.97700	-68.04260	-24.60970	96.60730	-15.54300	108.22000	-116.00100	-10.98280	-62.68300	86.79940	-102.25500	121.68500	-47.25460
-999.60300	-94.57270	-19.14880	116.01400	35.39620	103.27700	-159.98500	-68.04420	-24.59870	96.59550	-15.53390	108.22300	-116.01400	-10.99320	-62.67050	86.79460	-102.25200	121.69700	-47.27240
-999.50300	-94.56900	-19.13820	115.99800	35.40280	103.27800	-159.99300	-68.04580	-24.58760	96.58360	-15.52490	108.22700	-116.02700	-11.00370	-62.65810	86.78970	-102.25000	121.71000	-47.29010
-999.40300	-94.56540	-19.12770	115.98100	35.40940	103.27900	-160.00000	-68.04740	-24.57650	96.57170	-15.51580	108.23000	-116.04000	-11.01420	-62.64560	86.78490	-102.24800	121.72300	-47.30780
-999.30300	-94.56180	-19.11710	115.96500	35.41600	103.28000	-160.00800	-68.04900	-24.56540	96.55990	-15.50670	108.23300	-116.05300	-11.02460	-62.63320	86.78000	-102.24600	121.73600	-47.32560
-999.20300	-94.55820	-19.10660	115.94900	35.42270	103.28100	-160.01600	-68.05060	-24.55440	96.54800	-15.49770	108.23600	-116.06600	-11.03510	-62.62070	86.77520	-102.24300	121.74900	-47.34330
-999.10300	-94.55450	-19.09600	115.93200	35.42930	103.28200	-160.02400	-68.05210	-24.54330	96.53610	-15.48860	108.24000	-116.07900	-11.04550	-62.60830	86.77040	-102.24100	121.76100	-47.36110
-999.00300	-94.55090	-19.08540	115.91600	35.43590	103.28300	-160.03200	-68.05370	-24.53220	96.52420	-15.47950	108.24300	-116.09100	-11.05600	-62.59580	86.76550	-102.23900	121.77400	-47.37880
-998.90300	-94.54730	-19.07490	115.90000	35.44260	103.28400	-160.03900	-68.05530	-24.52120	96.51240	-15.47050	108.24600	-116.10400	-11.06640	-62.58340	86.76070	-102.23700	121.78700	-47.39660
-998.80300	-94.54370	-19.06430	115.88300	35.44920	103.28600	-160.04700	-68.05690	-24.51010	96.50050	-15.46140	108.24900	-116.11700	-11.07690	-62.57090	86.75580	-102.23400	121.80000	-47.41440
-998.70300	-94.54000	-19.05370	115.86700	35.45590	103.28700	-160.05500	-68.05850	-24.49900	96.48860	-15.45230	108.25300	-116.13000	-11.08740	-62.55850	86.75100	-102.23200	121.81300	-47.43210
-998.60300	-94.53640	-19.04320	115.85000	35.46250	103.28800	-160.06300	-68.06000	-24.48800	96.47670	-15.44320	108.25600	-116.14300	-11.09780	-62.54600	86.74610	-102.23000	121.82500	-47.44990
-998.50300	-94.53280	-19.03260	115.83400	35.46910	103.28900	-160.07100	-68.06160	-24.47690	96.46490	-15.43410	108.25900	-116.15600	-11.10830	-62.53350	86.74130	-102.22800	121.83800	-47.46770
-998.40300	-94.52920	-19.02210	115.81800	35.47580	103.29000	-160.07900	-68.06320	-24.46580	96.45300	-15.42500	108.26300	-116.16900	-11.11870	-62.52110	86.73640	-102.22500	121.85100	-47.48550
-998.30300	-94.52550	-19.01150	115.80100	35.48240	103.29100	-160.08600	-68.06480	-24.45470	96.44110	-15.41600	108.26600	-116.18200	-11.12920	-62.50860	86.73150	-102.22300	121.86400	-47.50330
-998.20300	-94.52190	-19.00090	115.78500	35.48910	103.29200	-160.09400	-68.06640	-24.44370	96.42920	-15.40690	108.26900	-116.19400	-11.13960	-62.49620	86.72670	-102.22100	121.87700	-47.52100
-998.10300	-94.51830	-18.99040	115.76900	35.49570	103.29300	-160.10200	-68.06790	-24.43260	96.41730	-15.39780	108.27200	-116.20700	-11.15010	-62.48370	86.72180	-102.21800	121.89000	-47.53880
