time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-138.26900	-114.04200	-5.34510	103.26600	115.12700	84.54330	-96.47610	-87.15120	-24.11130	31.19300	64.13820	104.49600	-14.87910	-44.31900	-86.75290	-92.27750	-41.69310	88.98020
-999.90300	-138.25800	-114.03000	-5.33645	103.27200	115.13200	84.54340	-96.47290	-87.14460	-24.10070	31.20290	64.14720	104.49900	-14.88860	-44.32330	-86.74380	-92.27350	-41.68130	89.00320
-999.80300	-138.24800	-114.01800	-5.32781	103.27700	115.13600	84.54340	-96.46970	-87.13810	-24.09000	31.21290	64.15610	104.50100	-14.89800	-44.32760	-86.73470	-92.26950	-41.66950	89.02630
-999.70300	-138.23700	-114.00700	-5.31916	103.28300	115.14100	84.54350	-96.46660	-87.13150	-24.07930	31.22280	64.16510	104.50400	-14.90750	-44.33180	-86.72560	-92.26560	-41.65770	89.04940
-999.60300	-138.22700	-113.99500	-5.31051	103.28900	115.14600	84.54360	-96.46340	-87.12490	-24.06860	31.23280	64.17410	104.50600	-14.91690	-44.33610	-86.71650	-92.26160	-41.64590	89.07250
-999.50300	-138.21600	-113.98300	-5.30187	103.29500	115.15100	84.54370	-96.46020	-87.11840	-24.05790	31.24270	64.18310	104.50900	-14.92630	-44.34030	-86.70740	-92.25760	-41.63410	89.09560
-999.40300	-138.20500	-113.97100	-5.29322	103.30100	115.15600	84.54380	-96.45700	-87.11180	-24.04720	31.25270	64.19210	104.51100	-14.93580	-44.34460	-86.69830	-92.25370	-41.62230	89.11870
-999.30300	-138.19500	-113.96000	-5.28458	103.30700	115.16000	84.54380	-96.45380	-87.10520	-24.03650	31.26260	64.20110	104.51400	-14.94520	-44.34890	-86.68920	-92.24970	-41.61050	89.14180
-999.20300	-138.18400	-113.94800	-5.27593	103.31200	115.16500	84.54390	-96.45060	-87.09870	-24.02580	31.27260	64.21010	104.51600	-14.95460	-44.35310	-86.68010	-92.24570	-41.59860	89.16490
-999.10300	-138.17400	-113.93600	-5.26728	103.31800	115.17000	84.54400	-96.44740	-87.09210	-24.01520	31.28250	64.21910	104.51900	-14.96410	-44.35740	-86.67090	-92.24170	-41.58680	89.18800
-999.00300	-138.16300	-113.92400	-5.25864	103.32400	115.17500	84.54410	-96.44420	-87.08560	-24.00450	31.29250	64.22810	104.52100	-14.97350	-44.36160	-86.66180	-92.23770	-41.57500	89.21100
-998.90300	-138.15300	-113.91200	-5.24999	103.33000	115.17900	84.54410	-96.44100	-87.07900	-23.99380	31.30250	64.23710	104.52400	-14.98290	-44.36590	-86.65270	-92.23370	-41.56320	89.23410
-998.80300	-138.14200	-113.90100	-5.24134	103.33600	115.18400	84.54420	-96.43780	-87.07240	-23.98310	31.31240	64.24610	104.52600	-14.99240	-44.37010	-86.64360	-92.22970	-41.55140	89.25720
-998.70300	-138.13100	-113.88900	-5.23270	103.34200	115.18900	84.54430	-96.43460	-87.06580	-23.97240	31.32240	64.25510	104.52900	-15.00180	-44.37440	-86.63440	-92.22570	-41.53950	89.28030
-998.60300	-138.12100	-113.87700	-5.22405	103.34700	115.19400	84.54440	-96.43140	-87.05930	-23.96170	31.33240	64.26400	104.53100	-15.01120	-44.37860	-86.62530	-92.22170	-41.52770	89.30340
-998.50300	-138.11000	-113.86500	-5.21540	103.35300	115.19800	84.54440	-96.42820	-87.05270	-23.95100	31.34230	64.27300	104.53400	-15.02070	-44.38290	-86.61620	-92.21770	-41.51590	89.32650
-998.40300	-138.10000	-113.85400	-5.20676	103.35900	115.20300	84.54450	-96.42490	-87.04610	-23.94030	31.35230	64.28200	104.53600	-15.03010	-44.38710	-86.60700	-92.21370	-41.50400	89.34960
-998.30300	-138.08900	-113.84200	-5.19811	103.36500	115.20800	84.54460	-96.42180	-87.03950	-23.92960	31.36230	64.29100	104.53900	-15.03950	-44.39130	-86.59790	-92.20970	-41.49220	89.37270
-998.20300	-138.07900	-113.83000	-5.18946	103.37100	115.21300	84.54470	-96.41850	-87.03300	-23.91890	31.37220	64.30000	104.54100	-15.04900	-44.39560	-86.58870	-92.20570	-41.48040	89.39580
-998.10300	-138.06800	-113.81800	-5.18082	103.37700	115.21700	84.54470	-96.41530	-87.02640	-23.90820	31.38220	64.30900	104.54300	-15.05840	-44.39980	-86.57960	-92.20170	-41.46850	89.41890
-998.00300	-138.05800	-113.80600	-5.17217	103.38300	115.22200	84.54480	-96.41210	-87.01980	-23.89760	31.39220	64.31800	104.54600	-15.06780	-44.40410	-86.57050	-92.19770	-41.45670	89.44200
-997.90300	-138.04700	-113.79500	-5.16353	103.38800	115.22700	84.54490	-96.40890	-87.01320	-23.88690	31.40220	64.32700	104.54800	-15.07720	-44.40830	-86.56130	-92.19360	-41.44480	89.46510
-997.80300	-138.03600	-113.78300	-5.15488	103.39400	115.23200	84.54500	-96.40570	-87.00660	-23.87620	31.41210	64.33610	104.55100	-15.08670	-44.41260	-86.55220	-92.18960	-41.43300	89.48820
