time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	-82.64840	-159.03900	-5.34483	91.02010	125.03400	84.54280	-65.07960	-112.55100	-24.11100	56.20960	43.90210	104.49600	-40.23490	-23.80840	-86.75330	-21.49870	-98.94910	88.98260
-999.90300	-82.63910	-159.02600	-5.33618	91.02350	125.04100	84.54290	-65.07380	-112.54700	-24.10030	56.21630	43.91370	104.49800	-40.23710	-23.81850	-86.74420	-21.48800	-98.94280	89.00570
-999.80300	-82.62980	-159.01300	-5.32753	91.02700	125.04800	84.54300	-65.06810	-112.54200	-24.08960	56.22300	43.92530	104.50100	-40.23930	-23.82870	-86.73510	-21.47730	-98.93650	89.02870
-999.70300	-82.62050	-159.00000	-5.31889	91.03040	125.05400	84.54300	-65.06230	-112.53800	-24.07900	56.22970	43.93690	104.50300	-40.24150	-23.83880	-86.72600	-21.46660	-98.93010	89.05180
-999.60300	-82.61110	-158.98700	-5.31024	91.03380	125.06100	84.54310	-65.05660	-112.53300	-24.06830	56.23640	43.94850	104.50600	-40.24370	-23.84890	-86.71690	-21.45590	-98.92380	89.07490
-999.50300	-82.60180	-158.97500	-5.30160	91.03730	125.06800	84.54320	-65.05080	-112.52900	-24.05760	56.24320	43.96010	104.50800	-40.24590	-23.85900	-86.70780	-21.44520	-98.91740	89.09800
-999.40300	-82.59250	-158.96200	-5.29295	91.04070	125.07500	84.54330	-65.04510	-112.52400	-24.04690	56.24990	43.97170	104.51100	-40.24810	-23.86910	-86.69860	-21.43450	-98.91110	89.12110
-999.30300	-82.58320	-158.94900	-5.28430	91.04410	125.08100	84.54330	-65.03930	-112.52000	-24.03620	56.25660	43.98330	104.51300	-40.25020	-23.87920	-86.68950	-21.42370	-98.90470	89.14420
-999.20300	-82.57390	-158.93600	-5.27566	91.04760	125.08800	84.54340	-65.03360	-112.51500	-24.02550	56.26330	43.99490	104.51600	-40.25240	-23.88940	-86.68040	-21.41300	-98.89840	89.16730
-999.10300	-82.56460	-158.92400	-5.26701	91.05100	125.09500	84.54350	-65.02780	-112.51100	-24.01480	56.27000	44.00660	104.51800	-40.25460	-23.89950	-86.67130	-21.40230	-98.89200	89.19040
-999.00300	-82.55530	-158.91100	-5.25836	91.05440	125.10100	84.54360	-65.02210	-112.50600	-24.00410	56.27670	44.01820	104.52100	-40.25680	-23.90960	-86.66220	-21.39160	-98.88560	89.21350
-998.90300	-82.54600	-158.89800	-5.24972	91.05790	125.10800	84.54360	-65.01630	-112.50200	-23.99350	56.28340	44.02980	104.52300	-40.25900	-23.91970	-86.65300	-21.38080	-98.87920	89.23650
-998.80300	-82.53670	-158.88500	-5.24107	91.06130	125.11500	84.54370	-65.01050	-112.49700	-23.98280	56.29010	44.04140	104.52600	-40.26120	-23.92980	-86.64390	-21.37010	-98.87290	89.25960
-998.70300	-82.52730	-158.87200	-5.23242	91.06480	125.12100	84.54380	-65.00480	-112.49300	-23.97210	56.29690	44.05300	104.52800	-40.26340	-23.93990	-86.63480	-21.35940	-98.86650	89.28270
-998.60300	-82.51800	-158.86000	-5.22378	91.06820	125.12800	84.54390	-64.99900	-112.48800	-23.96140	56.30360	44.06470	104.53100	-40.26560	-23.95000	-86.62570	-21.34860	-98.86010	89.30580
-998.50300	-82.50870	-158.84700	-5.21513	91.07160	125.13500	84.54390	-64.99330	-112.48400	-23.95070	56.31030	44.07630	104.53300	-40.26770	-23.96010	-86.61650	-21.33790	-98.85370	89.32890
-998.40300	-82.49940	-158.83400	-5.20648	91.07510	125.14200	84.54400	-64.98750	-112.47900	-23.94000	56.31700	44.08790	104.53600	-40.26990	-23.97020	-86.60740	-21.32720	-98.84730	89.35200
-998.30300	-82.49010	-158.82100	-5.19784	91.07850	125.14800	84.54410	-64.98180	-112.47500	-23.92930	56.32370	44.09950	104.53800	-40.27210	-23.98040	-86.59820	-21.31640	-98.84090	89.37510
-998.20300	-82.48080	-158.80800	-5.18919	91.08200	125.15500	84.54420	-64.97600	-112.47000	-23.91860	56.33050	44.11120	104.54100	-40.27430	-23.99050	-86.58910	-21.30570	-98.83450	89.39820
-998.10300	-82.47150	-158.79600	-5.18054	91.08540	125.16200	84.54420	-64.97020	-112.46600	-23.90790	56.33720	44.12280	104.54300	-40.27650	-24.00060	-86.58000	-21.29490	-98.82810	89.42130
-998.00300	-82.46220	-158.78300	-5.17190	91.08880	125.16800	84.54430	-64.96450	-112.46100	-23.89720	56.34390	44.13440	104.54600	-40.27860	-24.01070	-86.57080	-21.28420	-98.82170	89.44440
-997.90300	-82.45280	-158.77000	-5.16325	91.09230	125.17500	84.54440	-64.95870	-112.45700	-23.88650	56.35060	44.14610	104.54800	-40.28080	-24.02080	-86.56170	-21.27340	-98.81530	89.46750
